GPS 	 51.732110	8.735567	107.614000
GPS 	 51.732110	8.735568	107.615000
GPS 	 51.732110	8.735568	107.602000
GPS 	 51.732110	8.735568	107.579000
GPS 	 51.732110	8.735568	107.558000
GPS 	 51.732109	8.735568	107.586000
GPS 	 51.732109	8.735567	107.636000
GPS 	 51.732108	8.735566	107.713000
GPS 	 51.732107	8.735565	107.796000
GPS 	 51.732105	8.735563	107.908000
GPS 	 51.732102	8.735560	108.006000
GPS 	 51.732099	8.735556	108.076000
GPS 	 51.732097	8.735553	108.155000
GPS 	 51.732096	8.735550	108.228000
GPS 	 51.732095	8.735549	108.322000
GPS 	 51.732095	8.735549	108.386000
GPS 	 51.732095	8.735549	108.428000
GPS 	 51.732095	8.735551	108.552000
GPS 	 51.732096	8.735553	108.532000
GPS 	 51.732097	8.735558	108.572000
GPS 	 51.732098	8.735562	108.641000
GPS 	 51.732098	8.735567	108.700000
GPS 	 51.732099	8.735575	108.735000
GPS 	 51.732100	8.735586	108.759000
GPS 	 51.732103	8.735600	108.772000
GPS 	 51.732107	8.735614	108.784000
GPS 	 51.732112	8.735628	108.798000
GPS 	 51.732119	8.735640	108.805000
GPS 	 51.732128	8.735652	108.839000
GPS 	 51.732139	8.735662	108.859000
GPS 	 51.732152	8.735668	108.877000
GPS 	 51.732165	8.735670	108.899000
GPS 	 51.732181	8.735668	108.937000
GPS 	 51.732197	8.735658	108.976000
GPS 	 51.732211	8.735643	108.984000
GPS 	 51.732224	8.735625	108.999000
GPS 	 51.732238	8.735602	109.025000
GPS 	 51.732251	8.735577	109.037000
GPS 	 51.732264	8.735550	109.043000
GPS 	 51.732279	8.735520	109.072000
GPS 	 51.732294	8.735489	109.067000
GPS 	 51.732309	8.735457	109.080000
GPS 	 51.732325	8.735424	109.111000
GPS 	 51.732341	8.735391	109.128000
GPS 	 51.732356	8.735358	109.145000
GPS 	 51.732372	8.735325	109.165000
GPS 	 51.732389	8.735289	109.190000
GPS 	 51.732407	8.735253	109.201000
GPS 	 51.732424	8.735217	109.200000
GPS 	 51.732441	8.735183	109.207000
GPS 	 51.732457	8.735150	109.251000
GPS 	 51.732471	8.735117	109.225000
GPS 	 51.732481	8.735083	109.264000
